Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / Australia,Price / Australia,Compare At Price / Australia,Included / Canada,Price / Canada,Compare At Price / Canada,Included / India,Price / India,Compare At Price / India,Included / International,Price / International,Compare At Price / International,Included / United Kingdom,Price / United Kingdom,Compare At Price / United Kingdom,Status
coffee-center-12-cup-coffeemaker,,,,,,,,,White,,,,,1129550561146,0.0,shopify,89,deny,manual,452.00,500.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_3ed33e71-dcc8-4637-9702-43e40e8ee243.png?v=1672654255,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_3ed33e71-dcc8-4637-9702-43e40e8ee243.png?v=1672654255,kg,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,,,,,,,,,Brown,,,,,1129550561147,0.0,shopify,56,deny,manual,452.00,500.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_4b794e3c-c246-45ba-bcbb-2f12117a806f.png?v=1672654255,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_4b794e3c-c246-45ba-bcbb-2f12117a806f.png?v=1672654255,kg,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_44955a19-6cb0-466f-b66a-6b8cceaf3fbb.png?v=1672654255,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_ae2a3463-4da5-4387-94c7-1ad1d54a4deb.png?v=1672654255,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_98425a2a-ba6e-4090-ace6-f5f464d273d8.png?v=1672654255,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-center-12-cup-coffeemaker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/7_5d323dab-1c8e-4bb5-bd9a-7a086435c633.png?v=1672654255,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-grinder-electric,Coffee Grinder Electric,"FRESH COFFEE, EVERY TIME! Grinding coffee beans immediately before use releases the coffee beans' fragrant essential oils at the right moment to ensure maximum freshness and rich aroma for a full-bodied complex flavor, satisfying coffee with the most delicious taste in the comfort of your own home.",Bean,,Accessories,"",true,Color,Brown,,,,,1129589561145,0.0,shopify,56,deny,manual,563.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_40d003d7-1668-439c-b798-ddfbaa3b90b0.png?v=1672651773,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_40d003d7-1668-439c-b798-ddfbaa3b90b0.png?v=1672651773,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-grinder-electric,,,,,,,,,White,,,,,1129589561146,0.0,shopify,63,deny,manual,500.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_ae81d74f-2c9b-4a3d-b480-129cfe9e26fa.png?v=1672651773,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_ae81d74f-2c9b-4a3d-b480-129cfe9e26fa.png?v=1672651773,kg,,,,,,,,,,,,,,,,,,,
coffee-grinder-electric,,,,,,,,,Grey,,,,,1129589561147,0.0,shopify,72,deny,manual,545.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_8706c14e-d902-4d5f-bde4-b5c5312a9a67.png?v=1672651774,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_8706c14e-d902-4d5f-bde4-b5c5312a9a67.png?v=1672651774,kg,,,,,,,,,,,,,,,,,,,
coffee-grinder-electric,,,,,,,,,Black,,,,,1129589561148,0.0,shopify,80,deny,manual,536.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_bdcdb466-7fef-4176-8ac7-6b7239ca0907.png?v=1672651774,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_bdcdb466-7fef-4176-8ac7-6b7239ca0907.png?v=1672651774,kg,,,,,,,,,,,,,,,,,,,
coffee-large-ceramic,Coffee Large - Ceramic,"Rohshi Lane started with a vision to bring all kind of home décor products especially ceramic products with many exclusive &amp; beautiful designs recommended by our designers across India.
The Handle is designed so that will give you a perfect grip while holding your beverage, so you can enjoy your drink with your loved ones.",Generic,,Mugs,"",true,Color,Grey,,,,,1129589561151,0.0,shopify,52,deny,manual,300.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_391012e9-fb56-457d-8557-f7dc5fcd8d9d.png?v=1672721325,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_391012e9-fb56-457d-8557-f7dc5fcd8d9d.png?v=1672721325,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-large-ceramic,,,,,,,,,Blue,,,,,1129589561152,0.0,shopify,56,deny,manual,360.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_de0a72b0-3b39-4547-8fb7-1702b7bb38a1.png?v=1672721325,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_de0a72b0-3b39-4547-8fb7-1702b7bb38a1.png?v=1672721325,kg,,,,,,,,,,,,,,,,,,,
coffee-large-ceramic,,,,,,,,,Green,,,,,1129589561153,0.0,shopify,0,deny,manual,389.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_77781c9f-2f6f-4a65-a141-063cf8b35f5e.png?v=1672655945,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_77781c9f-2f6f-4a65-a141-063cf8b35f5e.png?v=1672655945,kg,,,,,,,,,,,,,,,,,,,
coffee-large-ceramic,,,,,,,,,Black,,,,,1129589561154,0.0,shopify,35,deny,manual,360.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_96a46577-1128-4678-97b8-33473d70fb5f.png?v=1672655945,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_f10b437b-ffdc-4b1c-aed1-02400dfb96a0.png?v=1672655945,kg,,,,,,,,,,,,,,,,,,,
coffee-large-ceramic,,,,,,,,,Red,,,,,1129589561155,0.0,shopify,30,deny,manual,320.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_f10b437b-ffdc-4b1c-aed1-02400dfb96a0.png?v=1672655945,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_96a46577-1128-4678-97b8-33473d70fb5f.png?v=1672655945,kg,,,,,,,,,,,,,,,,,,,
coffee-large-ceramic,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_31a4e0eb-fd8c-4d19-8504-8af9a6c31b8b.png?v=1672655945,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-maker,Coffee Maker,"The trendy carafe comes with a lid that has just the right design to help you pour out your coffee without any spillage.
This carafe comes with a nylon filter which filters your coffee to perfection.",Budan,,Machine,"",true,Color,Grey,,,,,1129589561148,0.0,shopify,52,deny,manual,263.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_17386e07-6118-46de-9420-d3288f12eb35.png?v=1672654632,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_17386e07-6118-46de-9420-d3288f12eb35.png?v=1672654632,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-maker,,,,,,,,,White,,,,,1129589561149,0.0,shopify,45,deny,manual,245.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_4840786f-2b7d-4343-9d75-634eaba7b5aa.png?v=1672654634,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_a69b8a58-3773-4415-9da7-3bcd76fb5e1a.png?v=1672654651,kg,,,,,,,,,,,,,,,,,,,
coffee-maker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_a69b8a58-3773-4415-9da7-3bcd76fb5e1a.png?v=1672654651,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-maker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_ec213ade-2463-4644-8aaa-359d50312ad3.png?v=1672654651,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-maker,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_2e185d14-8402-45db-bcfd-cb43f2150677.png?v=1672654651,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-maker-brewer-includes-14oz,Coffee Maker Brewer Includes 14Oz,"1)Too coarse a grind, too little coffee, or insufficiently tamping the grounds before brewing can all lead to inadequate pressure for a proper brew. 2)It is important to note that the amount of espresso extracted will vary depending on the grind size and amount and reprogramming may be needed when the size and amount are adjusted",1Zpresso,,Grinder,"",true,Color,Black,,,,,1124289561126,0.0,shopify,54,deny,manual,486.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_543e59e3-ae5a-490a-8c02-d4d2c77d33a3.png?v=1672658842,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_543e59e3-ae5a-490a-8c02-d4d2c77d33a3.png?v=1672658842,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-maker-brewer-includes-14oz,,,,,,,,,Green,,,,,1124289561127,0.0,shopify,0,deny,manual,400.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_05ac39e6-6338-479d-b92b-6f7e9a80210e.png?v=1672658842,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_05ac39e6-6338-479d-b92b-6f7e9a80210e.png?v=1672658842,kg,,,,,,,,,,,,,,,,,,,
coffee-maker-brewer-includes-14oz,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_2d1138f3-215f-40e7-8c76-e6f63b4aa31a.png?v=1672658843,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
coffee-mixer-for-cappuccino,Coffee Mixer for Cappuccino,"The battery-operated milk frother is easy to control and easy to clean, use with 2 AA batteries ( Battery Not included in box). The handheld version makes the frother easy to use by hand. The milk frother will be very easy to install.",Bean,,Accessories,"",true,Color,Pink,,,,,1124209561126,0.0,shopify,78,deny,manual,653.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61BxcXeDhZL._AC_SL1500_-removebg-preview.png?v=1672652032,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61BxcXeDhZL._AC_SL1500_-removebg-preview.png?v=1672652032,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-mixer-for-cappuccino,,,,,,,,,Grey,,,,,1124209561127,0.0,shopify,80,deny,manual,603.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61WMppU25ML._AC_SL1500_-removebg-preview.png?v=1672652032,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/61WMppU25ML._AC_SL1500_-removebg-preview.png?v=1672652032,kg,,,,,,,,,,,,,,,,,,,
coffee-mixer-for-cappuccino,,,,,,,,,Black,,,,,1124209561128,0.0,shopify,86,deny,manual,663.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/611sEjEoDXL._AC_SL1500_-removebg-preview.png?v=1672652032,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/611sEjEoDXL._AC_SL1500_-removebg-preview.png?v=1672652032,kg,,,,,,,,,,,,,,,,,,,
coffee-mixer-for-cappuccino,,,,,,,,,White,,,,,1124209561129,0.0,shopify,90,deny,manual,623.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/613bzj9hMpL._AC_SL1500_-removebg-preview.png?v=1672652032,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/613bzj9hMpL._AC_SL1500_-removebg-preview.png?v=1672652032,kg,,,,,,,,,,,,,,,,,,,
coffee-mugs-set-of-4-12-ounce-cups,Coffee Mugs Set of 4 - 12 Ounce Cups,"Roshi Lane started with a vision to bring all kinds of home décor products especially ceramic products with many exclusive &amp; beautiful designs recommended by our designers across India.
The Handle is designed so that will give you a perfect grip while holding your beverage, so you can enjoy your drink with your loved ones.",Generic,,Mugs,"",true,Color,Green,,,,,1124209561190,0.0,shopify,65,deny,manual,630.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_8f8ed4aa-0483-455d-acad-13e9866fd80e.png?v=1672656069,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6_8f8ed4aa-0483-455d-acad-13e9866fd80e.png?v=1672656069,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
coffee-mugs-set-of-4-12-ounce-cups,,,,,,,,,Red,,,,,1124209561191,0.0,shopify,32,deny,manual,600.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_563b9d6c-4eb1-4490-8be5-bda2a6b2e118.png?v=1672656070,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_563b9d6c-4eb1-4490-8be5-bda2a6b2e118.png?v=1672656070,kg,,,,,,,,,,,,,,,,,,,
coffee-mugs-set-of-4-12-ounce-cups,,,,,,,,,Blue,,,,,1124209561192,0.0,shopify,49,deny,manual,662.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_f52de2a1-03b3-4f0b-b348-69e4252f8991.png?v=1672656070,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_f52de2a1-03b3-4f0b-b348-69e4252f8991.png?v=1672656070,kg,,,,,,,,,,,,,,,,,,,
coffee-mugs-set-of-4-12-ounce-cups,,,,,,,,,Black,,,,,1124209561193,0.0,shopify,25,deny,manual,780.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_fa7f0ba0-7a12-4f95-a72a-6ea46eee1cd9.png?v=1672656070,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_fa7f0ba0-7a12-4f95-a72a-6ea46eee1cd9.png?v=1672656070,kg,,,,,,,,,,,,,,,,,,,
coffee-mugs-set-of-4-12-ounce-cups,,,,,,,,,White,,,,,1124209561194,0.0,shopify,63,deny,manual,700.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_2fd3b133-30f4-4a3e-906a-ab9d73da38d5.png?v=1672656070,5,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5_2fd3b133-30f4-4a3e-906a-ab9d73da38d5.png?v=1672656070,kg,,,,,,,,,,,,,,,,,,,
coffee-mugs-set-of-4-12-ounce-cups,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_458b8ae1-1a25-4f79-94d7-d152debd0471.png?v=1672656070,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombian-brew-hazelnut-instant,Colombian Brew Hazelnut Instant,"This is soluble instant coffee. 1 spoon makes 1 cup of 125ml coffee. Drink hot or cold in milk or water. Add sugar as per taste. (This coffee has no sugar, no milk powder, and no preservatives). Fine Texture, No Chicory, No Sugar, Keto",Beanly,,Coffee,"",true,Material,Hazelnut,,,,,1624289561121,0.0,shopify,73,deny,manual,245.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71d84-l_HOL._SL1500_-removebg-preview.png?v=1672644681,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71d84-l_HOL._SL1500_-removebg-preview.png?v=1672644681,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
colombian-brew-hazelnut-instant,,,,,,,,,Venilla,,,,,1624289561122,0.0,shopify,80,deny,manual,280.00,300.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/715QBZ_Y06L._SL1500_-removebg-preview.png?v=1672644681,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/715QBZ_Y06L._SL1500_-removebg-preview.png?v=1672644681,kg,,,,,,,,,,,,,,,,,,,
colombian-brew-hazelnut-instant,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/71gRkb941bL._SL1500_-removebg-preview.png?v=1672644681,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombian-brew-hazelnut-instant,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/81_8cACWvtL._SL1500_-removebg-preview.png?v=1672644681,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colombian-brew-hazelnut-instant,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/811W-f0E8xL._SL1500_-removebg-preview.png?v=1672644681,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
conical-burr-grinder,Conical Burr Grinder,This new Mueller Conical Burr Grinder provides you with the highest quality and newest technology on the market. The hardened alloy steel conical burr coffee grinder provides you precise grind size and uniform grinding for full coffee flavor.,1Zpresso,,Grinder,"",true,Color,Black,,,,,1624289561131,0.0,shopify,56,deny,manual,584.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_f05ae8de-129a-4d3f-afba-d062e1ffb1d8.png?v=1672659207,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_f05ae8de-129a-4d3f-afba-d062e1ffb1d8.png?v=1672659207,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
conical-burr-grinder,,,,,,,,,Blue,,,,,1624289561132,0.0,shopify,78,deny,manual,500.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_775cecb5-ffc0-4759-b65f-33637dadd4db.png?v=1672659207,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_23b7a8b2-85c6-4826-bbb5-0274ec262ef1.png?v=1672659207,kg,,,,,,,,,,,,,,,,,,,
conical-burr-grinder,,,,,,,,,Green,,,,,1624289561133,0.0,shopify,82,deny,manual,464.00,600.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_23b7a8b2-85c6-4826-bbb5-0274ec262ef1.png?v=1672659207,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4..png?v=1672659207,kg,,,,,,,,,,,,,,,,,,,
conical-burr-grinder,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4..png?v=1672659207,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributor,Distributor,"This 58mm Leveler is made of high-quality stainless steel, which is not easy to rust, more for health. The surface of the product is polished, delicate, and smooth. The product uses a strong base, and the powder-pressing effect is good.",Benki,,Tools,"",true,Color,Black,,,,,1624289561141,0.0,shopify,56,deny,manual,320.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3.png?v=1672642716,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3.png?v=1672642716,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
distributor,,,,,,,,,White,,,,,1624289561142,0.0,shopify,63,deny,manual,300.00,400.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5.png?v=1672642716,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/5.png?v=1672642716,kg,,,,,,,,,,,,,,,,,,,
distributor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1.png?v=1672642717,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4.png?v=1672642717,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/6.png?v=1672642717,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
distributor,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2.png?v=1672642717,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
electric-spicecoffee-grinder,Electric SpiceCoffee Grinder,"Coffee grinder with Power 200W,230V,60Hz;1.8 oz./50g capacity, yielding up to 7 cups of coffee; Great for grinding coffee beans, dried spices, nuts, grains, and so on. One removable S/S grinding cup is attached; Coffee mill with ETL approval; BPA free;",1Zpresso,,Grinder,"",true,Color,Grey,,,,,1624289561151,0.0,shopify,57,deny,manual,782.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_980ff3e6-5e64-4f11-bf9d-b1d091bdaed0.png?v=1672658553,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_980ff3e6-5e64-4f11-bf9d-b1d091bdaed0.png?v=1672658553,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
electric-spicecoffee-grinder,,,,,,,,,White,,,,,1624289561152,0.0,shopify,89,deny,manual,741.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_c8911768-902d-4480-978c-5a6bb9ad18ad.png?v=1672658553,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_f9b14b32-3f83-4ead-b54b-1794750f4463.png?v=1672658553,kg,,,,,,,,,,,,,,,,,,,
electric-spicecoffee-grinder,,,,,,,,,Black,,,,,1624289561153,0.0,shopify,0,deny,manual,689.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/3_f9b14b32-3f83-4ead-b54b-1794750f4463.png?v=1672658553,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_4ae8c385-546f-4ec7-a230-dff3f1cfcc96.png?v=1672658553,kg,,,,,,,,,,,,,,,,,,,
electric-spicecoffee-grinder,,,,,,,,,Red,,,,,1624289561154,0.0,shopify,38,deny,manual,700.00,,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/4_4ae8c385-546f-4ec7-a230-dff3f1cfcc96.png?v=1672658553,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/2_c8911768-902d-4480-978c-5a6bb9ad18ad.png?v=1672658553,kg,,,,,,,,,,,,,,,,,,,
estate-washed-medium-roast,Estate Washed - Medium Roast,"Recommended Brewing Methods - Home Espresso, French Press, South Indian Filter, Moka Pot. Roast Level - Dark Tasting Notes - Cocoa, Oaky, Bitter Sweet The second darkest of our roasts, this blend has a great body, and low acidity and is a favorite choice for coffee drinkers who enjoy a strong cup, with the characteristic bittersweet notes.",Tokai,,Coffee,"",true,Material,Dhak Blend,,,,,1624289561161,0.0,shopify,44,deny,manual,675.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51FBrdca5nL-removebg-preview.png?v=1672644685,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51FBrdca5nL-removebg-preview.png?v=1672644685,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
estate-washed-medium-roast,,,,,,,,,Vienna Roast,,,,,1624289561162,0.0,shopify,58,deny,manual,600.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51jFUqLYZzL._SL1100_-removebg-preview.png?v=1672644685,2,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51jFUqLYZzL._SL1100_-removebg-preview.png?v=1672644685,kg,,,,,,,,,,,,,,,,,,,
estate-washed-medium-roast,,,,,,,,,Thogarihunkal,,,,,1624289561163,0.0,shopify,78,deny,manual,625.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51wKQjPcwML._SL1100_-removebg-preview.png?v=1672644685,3,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51wKQjPcwML._SL1100_-removebg-preview.png?v=1672644685,kg,,,,,,,,,,,,,,,,,,,
estate-washed-medium-roast,,,,,,,,,Kerehaklu,,,,,1624289561164,0.0,shopify,96,deny,manual,645.00,700.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51YmQPbMcBL._SL1100_-removebg-preview.png?v=1672644685,4,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/51YmQPbMcBL._SL1100_-removebg-preview.png?v=1672644685,kg,,,,,,,,,,,,,,,,,,,
grinder-pro-coffee-bean,Grinder Pro Coffee Bean,"Flat Burr Grinder System - The metallic burr grinder produces fine and even ground coffee, which better retains the aroma of coffee and helps you to taste great coffee.16 Grinding Settings - The electric coffee grinder offers 16 kinds of grinding sizes.",1Zpresso,,Grinder,"",true,Color,Black,,,,,1624289561171,0.0,shopify,45,deny,manual,716.00,800.00,true,true,"",https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_670d78fe-329d-4e1b-8ced-f5e600a0a9d0.png?v=1672658692,1,,false,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0700/3193/3753/products/1_670d78fe-329d-4e1b-8ced-f5e600a0a9d0.png?v=1672658692,kg,,,true,true,,,true,,,true,,,true,,,true,,,active
